x, y, z, colors, sizes 
0.26713626394008594,0.07773392001314416,0.8447003579442566,0.6565188537756578,0.817983592537803
0.6212081813377147,0.802204326598537,0.7698600741382259,0.7809192627409158,0.15107036300866405
0.28100523472141736,0.7673350556156954,0.9793241403517934,0.24756085269674966,0.7360001241150499
0.511920403149884,0.7938637488370485,0.6419863091748458,0.7932866858324945,0.9749525123953077
0.9090611831805481,0.9342719826170316,0.6264239685660091,0.8973726704244642,0.6347469126498132
0.8217963857090815,0.11473207247996953,0.4672750179716515,0.963409154384359,0.18140172029044577
0.19565635998428732,0.12576160932569302,0.022328838791276118,0.8903117857195183,0.584913180662483
0.3512472209336588,0.23841337345765667,0.12465729319583185,0.9985273721761437,0.550556430906513
0.3549878823042476,0.5033218590147096,0.15154938046640132,0.3435929198253721,0.6621951304265932
0.6242446289913786,0.22939620394185722,0.28576522958344175,0.8419349563939363,0.7093269763729807
0.4119379984395738,0.9127485276801303,0.039780491855893496,0.6802486269806508,0.8693918462719402
0.5794463131458103,0.8231493010671946,0.44454626649866624,0.18168521488229528,0.8895764881294138
0.6227863762465813,0.1415230625873365,0.4904519418275648,0.24677425821605925,0.7405014293705274
0.45143235747860466,0.920892342599779,0.25267345540918085,0.295618819638226,0.6231197272049415
0.707551772689106,0.742203178465075,0.5322875387103192,0.8478242176778641,0.04839076155947408
0.657549669942519,0.4667300807973622,0.36328129406206333,0.19051428864478814,0.5441272586300333
0.4771155350533719,0.8725091443697539,0.8196555853318975,0.6056050602956763,0.8807436327578274
0.0780619672621361,0.4773347896038086,0.08489132051746984,0.34345814506809746,0.5192904582227182
0.1374690854759686,0.25818832672395053,0.2564648190273444,0.2268154824147458,0.4089492868730954
0.8561599220725619,0.2514341942866407,0.37880118770939764,0.20887097323824122,0.7979210447204014
0.7535204320722535,0.5003441336521219,0.07949810745280972,0.799921546152269,0.7646147216436715
0.8293974618629135,0.2867668505722045,0.3661492101020032,0.5152135533159875,0.9288134792755265
0.17498742665524258,0.0745165232423316,0.6783253811620881,0.600978416403834,0.19762455008188873
0.35245091837603026,0.9761285661752297,0.4095018557948933,0.5363376625878304,0.7909469669005643
0.10797831074135278,0.29935615457685516,0.8626653793835682,0.503753935720915,0.6849821764927305
0.9724319132306369,0.13716512210077259,0.5225488049439893,0.3203816758281052,0.8400847820643667
0.20379318500663346,0.23822438941767932,0.3217297211548149,0.8412043380813545,0.254657711266677
0.0794602517625923,0.09793700958164353,0.6387924625293054,0.6058171670965552,0.3466089907398018
0.5068318171973542,0.9666469049454703,0.47643504611991405,0.14385067826586395,0.7101907528844688
0.9088428570432507,0.9900667866253561,0.098411922182713,0.22691555622601767,0.23068148352399664
0.3465254790230764,0.3777946278536142,0.565182351459523,0.36331316784357004,0.9736951525879082
0.16735498606496924,0.485557482412609,0.2522435022497804,0.3954453191544135,0.581724043370288
0.6564935798051443,0.027624165294499514,0.23435400967040088,0.607679501856461,0.2901719404676979
0.4938117390018082,0.32882864156622327,0.44961230009865893,0.4591615359235782,0.33038880883285504
0.07484831198138175,0.19117361747158812,0.3627257823829647,0.6139407359098578,0.3577166345828158
0.5875605746580826,0.7619709573399069,0.6006170278762591,0.3570297205616617,0.6354600511345593
0.9079608827893351,0.8394870559800118,0.015167743024582236,0.5609228909855091,0.013509118878106463
0.9185020579604158,0.34053091770941857,0.5824075953966904,0.2002988909201271,0.024656168005543044
0.6636855616061103,0.45299094687011743,0.34894817519782184,0.11327745219496943,0.47402554305886535
0.671390204558375,0.13082548928273874,0.6005620672482496,0.7771740529392281,0.9839265360326791
0.47935076054194536,0.8797966244999734,0.061602581108221144,0.4808682847700161,0.9353944188330942
0.859188612522238,0.5696160831848355,0.015160815727592869,0.04030051882373298,0.7642782968704239
0.15404078343661176,0.41186440044821326,0.1474084868076858,0.8504338488248899,0.6086812186613402
0.845436536971245,0.07765440158641601,0.40561423293072885,0.22290870101771432,0.4962322844658533
0.09796332570064414,0.8623173357162018,0.33005872124272606,0.0675027974293737,0.461427673062454
0.20330692724834043,0.041523713408101015,0.2699548369757411,0.031044710099855766,0.8086024422069658
0.5448752033887818,0.9137845819312672,0.02459453470523587,0.19100427266820907,0.7638301516897148
0.4384952860759106,0.5527471808150852,0.7096950615703218,0.901182951679338,0.9055297277754257
0.9375862466011712,0.41244101098289154,0.9377301154295692,0.13951381023850984,0.2436472895823757
